-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,0,j,j,j,j,s,s,s,s,d,d,d,d,Rd = memw(Rs+#u4:2)
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,0,1,j,j,j,j,s,s,s,s,d,d,d,d,Rd = memub(Rs+#u4:0)
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,0,j,j,j,s,s,s,s,d,d,d,d,Rd = memh(Rs+#u3:1)
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,0,1,j,j,j,s,s,s,s,d,d,d,d,Rd = memuh(Rs+#u3:1)
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,0,j,j,j,s,s,s,s,d,d,d,d,Rd = memb(Rs+#u3:0)
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,0,j,j,j,j,j,d,d,d,d,Rd = memw(r29+#u5:2)
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,0,j,j,j,j,j,d,d,d,Rdd = memd(r29+#u5:3)
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,0,0,-,-,-,0,-,-,deallocframe
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,0,1,-,-,-,0,-,-,dealloc_return
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,0,1,-,-,-,1,0,0,if (P0) dealloc_return
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,0,1,-,-,-,1,0,1,if (!P0) dealloc_return
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,0,1,-,-,-,1,1,0,if (P0.new) dealloc_return:nt
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,0,1,-,-,-,1,1,1,if (!P0.new) dealloc_return:nt
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,-,-,-,0,-,-,jumpr R31
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,-,-,-,1,0,0,if (P0) jumpr R31
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,-,-,-,1,0,1,if (!P0) jumpr R31
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,-,-,-,1,1,0,if (P0.new) jumpr:nt R31
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,0,1,1,1,1,1,1,1,1,-,-,-,1,1,1,if (!P0.new) jumpr:nt R31
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,0,j,j,j,j,s,s,s,s,t,t,t,t,memw(Rs+#u4:2) = Rt
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,0,1,j,j,j,j,s,s,s,s,t,t,t,t,memb(Rs+#u4:0) = Rt
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,0,j,j,j,s,s,s,s,t,t,t,t,memh(Rs+#u3:1) = Rt
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,0,0,j,j,j,j,j,t,t,t,t,memw(r29+#u5:2) = Rt
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,0,1,0,1,j,j,j,j,j,j,t,t,t,memd(r29+#s6:3) = Rtt
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,0,0,0,I,s,s,s,s,j,j,j,j,memw(Rs+#u4:2) = #U1
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,0,0,1,I,s,s,s,s,j,j,j,j,memb(Rs+#u4) = #U1
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,0,1,1,1,1,1,0,j,j,j,j,j,-,-,-,-,allocframe(#u5:3)
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,0,j,j,j,j,j,j,j,x,x,x,x,"Rx = add(Rx,#s7)"
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,0,0,0,0,s,s,s,s,d,d,d,d,Rd = Rs
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,0,1,0,j,j,j,j,j,j,d,d,d,d,Rd = #u6
-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,0,0,1,1,0,1,-,-,0,-,-,d,d,d,d,Rd = #-1
