1,"Rd = #U6; jump ##s32"
0,"if (Pt.new) jump:hint ##s32"
0,"if ([!]Pt) jump:hint ##s32"
0,"Rd[d] = mem{b|ub|h|uh|w|d}(gp + ##U32)"
0,"if ([!]Pt[.new]) Rd = mem{b|ub|h|uh|w|d} (Rs + ##U32)"
0,"Rd[d] = mem{b|ub|h|uh|w|d} (Rs + ##U32)"
0,"Rd[d] = mem{b|ub|h|uh|w|d} (Re=##U32)"
1,"Rd[d] = mem{b|ub|h|uh|w|d} (Rt<<#u2 + ##U32)"
0,"if ([!]Pt[.new]) Rd = mem{b|ub|h|uh|w|d} (##U32)"
0,"mem{b|h|w|d}(##U32) = Rs[.new]"
0,"mem{b|h|w|d}(gp+##U32) = Rt"
0,"if ([!]Pt[.new]) mem{b|h|w|d}(Rs + ##U32) = Rt[.new]"
0,"mem{b|h|w|d}(Rs + ##U32) = Rt[.new]"
0,"mem{b|h|w|d}(Rd=##U32) = Rt[.new]"
1,"mem{b|h|w|d}(Ru<<#u2 + ##U32) = Rt[.new]"
0,"if ([!]Pt[.new]) mem{b|h|w|d}(##U32) = Rt[.new]"
1,"if ([!]Pt[.new]) memw(Rs + #u6) = ##U32"
1,"memw(Rs + #u6) = ##U32"
1,memw(Rs + Rt<<#u2) = ##U32
0,"if (cmp.xx(Rs.new,##U32)) jump:hint target"
1,"p0=cmp.xx(Rs,##U32); if (p0.new) jump:hint target"
1,"p0=cmp.xx(Rs,##U32); if (!p0.new) jump:hint target"
0,"p0=cmp.xx(Rs,Rt); if (p0.new) jump:hint ##s32"
0,"p0=cmp.xx(Rs,Rt); if (!p0.new) jump:hint ##s32"
0,Rd = ##u32
0,"Rdd = combine(Rs,#s8)"
0,"Rdd = combine(#s8,Rs)"
0,"Rdd = combine(#s8,#S8)"
1,"Rdd = combine(#s8,#U6)"
0,"Rd = mux (Pu,Rs,##u32)"
0,"Rd = mux (Pu,##u32,Rs)"
0,"Rd = mux(Pu,##u32,#s8)"
0,"if ([!]Pu[.new]) Rd = add(Rs,##u32)"
0,if ([!]Pu[.new]) Rd = ##u32
0,"Pd = [!]cmp.eq (Rs,##u32)"
0,"Pd = [!]cmp.gt (Rs,##u32)"
0,"Pd = [!]cmp.gtu (Rs,##u32)"
0,"Rd = [!]cmp.eq(Rs,##u32)"
0,"Rd = and(Rs,##u32)"
0,"Rd = or(Rs,##u32)"
0,"Rd = sub(##u32,Rs)"
0,"Rd = add(Rs,##s32)"
0,"Rd = mpyi(Rs,##u32)"
0,"Rd += mpyi(Rs,##u32)"
0,"Rd -= mpyi(Rs,##u32)"
0,"Rx += add(Rs,##u32)"
0,"Rx -= add(Rs,##u32)"
0,Rd = ##u32
0,"Rd = add(Rs,##s32)"
0,jump (PC + ##s32)
0,call (PC + ##s32)
0,if ([!]Pu) call (PC + ##s32)
0,"Pd = spNloop0(PC+##s32,Rs/#U10)"
0,"loop0/1 (PC+##s32,#Rs/#U10)"
0,"Rd = add(pc,##s32)"
0,"Rd = add(##u32,mpyi(Rs,#u6))"
0,"Rd = add(##u32,mpyi(Rs,Rt))"
0,"Rd = add(Rs,add(Rt,##u32))"
0,"Rd = add(Rs,sub(##u32,Rt))"
0,"Rd = sub(##u32,add(Rs,Rt))"
0,"Rd = or(Rs,and(Rt,##u32))"
0,"Rx = add/sub/and/or (##u32,asl/asr/lsr(Rx,#U5))"
0,"Rx = add/sub/and/or (##u32,asl/asr/lsr(Rs,Rx))"
0,"Rx = add/sub/and/or (##u32,asl/asr/lsr(Rx,Rs))"
0,"Pd = cmpb/h.{eq,gt,gtu} (Rs,##u32)"
0,"Rx = add(Rx,#s7)"
0,"Rd = #u6"
